run_no,rmse,config_path,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0.2099805040475762,screening_runs/bo_0.json,-0.1,-0.2,0.6,0.0,0.0,0.0,-0.6,0.75,0.0,0.0
1,0.1345398570600276,screening_runs/bo_1.json,0.148805015347898,0.2844635212793946,0.2474731029011309,-0.091834207996726,-0.0970576163381338,-0.4686462543904781,-0.7071802872233093,0.533895377535373,0.0287149865180253,0.2845431845635175
2,0.1703817433052405,screening_runs/bo_2.json,0.2378764213994145,0.2524047467857599,0.1597981694154441,-0.1374502712860703,-0.2771067610010505,-0.3149698451161384,-0.7396766894496978,0.3790569601114839,-0.2549105761572718,0.1271178275346756
3,0.2133864378636806,screening_runs/bo_3.json,0.2327056681737304,-0.4624602997675537,0.5306679072789848,0.4223088212311268,-0.4424189506098628,-0.3597363261505961,-0.4536265101283788,0.7832763311453164,-0.1725710779428482,-0.383789200335741
4,0.1470716559860251,screening_runs/bo_4.json,-0.0326855083927511,-0.2410607168450951,0.8622296909801662,-0.469400255009532,0.1715702367946505,0.3965574568137526,-0.307044259365648,0.3436798546463251,0.2507648570463061,-0.2355018490925431
5,0.1625169815943931,screening_runs/bo_5.json,0.1897807192057371,0.146051100641489,0.6017972539179027,-0.2150531709194183,0.0543411970138549,0.0855862237513065,-0.7020160256884992,0.9399866168387234,-0.2829705104231834,0.1269506001845002
6,0.1733968880021138,screening_runs/bo_6.json,-0.4253828132127688,-0.6241723387223673,0.1019740021619609,0.2680587669150452,0.4378817931691087,0.4390059360179563,-0.1299770367254146,0.4541633049992548,-0.4984759189350876,0.4026499262792133
7,0.1581091378746238,screening_runs/bo_7.json,0.3302169593815779,-0.6016300975917367,0.9744443303238518,0.3928158429120406,-0.4275870734952053,0.1053184812230989,-0.9041050449719484,0.3266898019749649,0.4263257863927375,0.4736779040463035
8,0.1736417749918514,screening_runs/bo_8.json,-0.5881431410985072,0.0041416317550194,0.1213538611188188,0.4892705182268273,0.216263870237571,0.4573890451225659,-0.956110767265657,0.726169113868166,0.4519188370582758,-0.3415499365500318
9,0.1301310839109973,screening_runs/bo_9.json,-0.4271025043731609,-0.573226337386889,0.1081111454829397,-0.3395816001720767,-0.1263645940943181,-0.2536664806086273,-0.1093094710346475,0.2609580230083284,-0.3835283321072018,-0.4943039963198549
10,0.1392101449765152,screening_runs/bo_10.json,0.1558996394752263,0.2781548574298889,0.9883455996649212,-0.4559425405435955,0.4919466285767532,-0.4876274782579747,-0.1818895657935751,0.4486162271032247,-0.489911414872916,-0.3766936976322852
11,0.1600968484799748,screening_runs/bo_11.json,-0.4999685588372725,-0.5854082305645096,0.1393476319776322,0.4890135807247682,-0.3691265265178562,-0.3134001712235197,-0.187364182064656,0.3356283164976085,0.4315002019593144,0.4914249084178932
12,0.1672095245077682,screening_runs/bo_12.json,-0.5784340403302494,-0.6827580267849065,0.4956718514449306,-0.4683840239128892,0.4617548621127616,0.3884287303410629,-0.941873373615623,0.9670460704433196,0.3839958243167682,0.3597523055527973
13,0.1541559796332088,screening_runs/bo_13.json,-0.5561911560344505,-0.5542648457725732,0.172815292910039,0.3961482898614312,0.4745438187193577,-0.4074752100639053,-0.9924979230903834,0.3575994205383268,-0.4088532181170081,0.1001624198621361
14,0.1757979641467074,screening_runs/bo_14.json,-0.4695267471168073,0.1874787463535706,0.3414089498953468,0.2780433796039476,0.4116445511359231,-0.4746146612333953,-0.2024028869045616,0.3021094341971441,0.4039762778108896,-0.4567491098819807
15,0.18339582934403278,screening_runs/bo_15.json,0.24422598059286138,-0.6690020547671515,0.9674349151071182,0.3228577743492289,0.4415986693274959,0.4968058254876825,-0.8471806374231658,0.5733999602295372,-0.43789403539472216,-0.49383998043215827
