run_no,rmse,active_pairs,config_path
0,0.17219557878836392,"[('Enterobacteriaceae', 'Sutterellaceae', 0.2215681645806311), ('Prevotellaceae', 'Bifidobacteriaceae', 0.487757529742584), ('Sutterellaceae', 'Bifidobacteriaceae', -0.369499502202687), ('Lachnospiraceae', 'Muribaculaceae', 0.794464837331186), ('Lachnospiraceae', 'Other_bacteria', -0.06211031669816802), ('Synergistaceae', 'Bacteroidaceae', -0.30158842442454703), ('Bifidobacteriaceae', 'Sutterellaceae', -0.2934806709942629), ('Prevotellaceae', 'Sutterellaceae', 0.665289574027941), ('Lachnospiraceae', 'Tannerellaceae', 0.49455377839992654), ('Oscillospiraceae', 'Sutterellaceae', -0.7727118739973147), ('Tannerellaceae', 'Lachnospiraceae', -0.439009698300626), ('Lachnospiraceae', 'Prevotellaceae', -0.6399746599760991), ('Other_bacteria', 'Bifidobacteriaceae', 0.178347101157596), ('Sutterellaceae', 'Ruminococcaceae', -0.22106332227846603), ('Muribaculaceae', 'Bacteroidaceae', 0.791356242771845), ('Prevotellaceae', 'Tannerellaceae', 0.2935381000186472), ('Bifidobacteriaceae', 'Bacteroidaceae', 0.07821473657047895), ('Oscillospiraceae', 'Muribaculaceae', -0.3436281626684098)]",screening_runs/screen_0.json
1,0.12769896949269025,"[('Other_bacteria', 'Oscillospiraceae', 0.11180625817086798), ('Bifidobacteriaceae', 'Synergistaceae', 0.6877660140038706), ('Lachnospiraceae', 'Synergistaceae', -0.6486448013333841), ('Other_bacteria', 'Lachnospiraceae', -0.7177084261127877), ('Synergistaceae', 'Bacteroidaceae', -0.24779858067752358), ('Enterobacteriaceae', 'Muribaculaceae', -0.5274506044756713), ('Ruminococcaceae', 'Synergistaceae', -0.3880293363558449), ('Enterobacteriaceae', 'Prevotellaceae', -0.25864886101904394), ('Bacteroidaceae', 'Sutterellaceae', -0.03600272409222838), ('Tannerellaceae', 'Prevotellaceae', -0.4431656270106048), ('Bacteroidaceae', 'Oscillospiraceae', 0.36521570812249404), ('Enterobacteriaceae', 'Tannerellaceae', 0.22570595387728187), ('Synergistaceae', 'Muribaculaceae', 0.7161233622997976), ('Sutterellaceae', 'Enterobacteriaceae', 0.3338556135068891), ('Bifidobacteriaceae', 'Sutterellaceae', 0.5473564412909413), ('Oscillospiraceae', 'Bacteroidaceae', -0.009238052146763431), ('Prevotellaceae', 'Synergistaceae', -0.11679484590227762), ('Enterobacteriaceae', 'Ruminococcaceae', -0.5812102006788762)]",screening_runs/screen_1.json
2,0.15623589245852013,"[('Enterobacteriaceae', 'Sutterellaceae', -0.6141712737129705), ('Sutterellaceae', 'Enterobacteriaceae', 0.5003595639922256), ('Muribaculaceae', 'Lachnospiraceae', 0.029229735661272627), ('Prevotellaceae', 'Other_bacteria', -0.06543849212972686), ('Oscillospiraceae', 'Ruminococcaceae', -0.2676493638503169), ('Bacteroidaceae', 'Oscillospiraceae', 0.466552048216742), ('Sutterellaceae', 'Other_bacteria', -0.24372703386050376), ('Synergistaceae', 'Sutterellaceae', -0.2079446169262038), ('Synergistaceae', 'Muribaculaceae', 0.7832927132109881), ('Oscillospiraceae', 'Tannerellaceae', -0.4331170909337953), ('Bifidobacteriaceae', 'Sutterellaceae', -0.7798671940668657), ('Other_bacteria', 'Oscillospiraceae', -0.17398143100519903), ('Ruminococcaceae', 'Sutterellaceae', 0.15812224399989605), ('Sutterellaceae', 'Prevotellaceae', 0.1166036139469867), ('Prevotellaceae', 'Oscillospiraceae', -0.3805128569755226), ('Synergistaceae', 'Bacteroidaceae', -0.1555618927760165), ('Oscillospiraceae', 'Bacteroidaceae', -0.5009360489264707), ('Ruminococcaceae', 'Tannerellaceae', 0.3568000115247949)]",screening_runs/screen_2.json
