run_no,rmse,active_pairs,config_path
0,0.13509833520322492,"[('Oscillospiraceae', 'Ruminococcaceae', -0.29778304115714593), ('Ruminococcaceae', 'Lachnospiraceae', 0.5148652416820887), ('Prevotellaceae', 'Synergistaceae', -0.03850050440370012), ('Lachnospiraceae', 'Ruminococcaceae', -0.2913360610749365), ('Other_bacteria', 'Ruminococcaceae', -0.3696339434314309), ('Synergistaceae', 'Lachnospiraceae', -0.48164674282169373), ('Bifidobacteriaceae', 'Oscillospiraceae', 0.3416768331008877), ('Sutterellaceae', 'Ruminococcaceae', 0.18458794470537465), ('Lachnospiraceae', 'Bacteroidaceae', 0.17211509185752527), ('Bifidobacteriaceae', 'Enterobacteriaceae', -0.3986685576108968), ('Lachnospiraceae', 'Tannerellaceae', 0.3233293035204461), ('Enterobacteriaceae', 'Tannerellaceae', 0.7305039069700967), ('Bifidobacteriaceae', 'Lachnospiraceae', 0.029470578144403015), ('Other_bacteria', 'Enterobacteriaceae', 0.49823280300350237), ('Ruminococcaceae', 'Oscillospiraceae', -0.7932417869608476), ('Sutterellaceae', 'Muribaculaceae', -0.7209201319453471), ('Synergistaceae', 'Enterobacteriaceae', 0.4480205639747641), ('Prevotellaceae', 'Oscillospiraceae', 0.47815003416145285)]",screening_runs/screen_0.json
1,0.1757054647270002,"[('Other_bacteria', 'Bifidobacteriaceae', -0.4275867186364673), ('Enterobacteriaceae', 'Bifidobacteriaceae', 0.545967813555549), ('Other_bacteria', 'Tannerellaceae', 0.18005524157371122), ('Lachnospiraceae', 'Sutterellaceae', -0.050257323455886294), ('Tannerellaceae', 'Enterobacteriaceae', 0.505927410588578), ('Oscillospiraceae', 'Bifidobacteriaceae', 0.7318904882804846), ('Prevotellaceae', 'Lachnospiraceae', 0.712008917009594), ('Bifidobacteriaceae', 'Prevotellaceae', 0.2587152742240828), ('Oscillospiraceae', 'Ruminococcaceae', -0.06132814071940085), ('Muribaculaceae', 'Bacteroidaceae', 0.6495955626284395), ('Synergistaceae', 'Oscillospiraceae', 0.321168966513933), ('Other_bacteria', 'Synergistaceae', 0.051549051187077866), ('Sutterellaceae', 'Oscillospiraceae', -0.16026250050586754), ('Ruminococcaceae', 'Enterobacteriaceae', -0.6156383855652398), ('Lachnospiraceae', 'Bacteroidaceae', 0.1516892668445845), ('Enterobacteriaceae', 'Other_bacteria', -0.4270335686482842), ('Oscillospiraceae', 'Lachnospiraceae', 0.468219120675756), ('Tannerellaceae', 'Oscillospiraceae', -0.20558023069825693)]",screening_runs/screen_1.json
2,0.13893616825693902,"[('Bacteroidaceae', 'Sutterellaceae', 0.3135955740484371), ('Oscillospiraceae', 'Other_bacteria', 0.5076536702586674), ('Enterobacteriaceae', 'Tannerellaceae', 0.7855117139997438), ('Ruminococcaceae', 'Tannerellaceae', 0.4329528794841857), ('Bacteroidaceae', 'Oscillospiraceae', 0.09551102232933117), ('Synergistaceae', 'Other_bacteria', 0.014923503454846943), ('Enterobacteriaceae', 'Sutterellaceae', -0.1377122006488728), ('Prevotellaceae', 'Muribaculaceae', 0.308199335545857), ('Tannerellaceae', 'Bacteroidaceae', 0.6947619544836068), ('Bifidobacteriaceae', 'Oscillospiraceae', 0.7158348235939698), ('Sutterellaceae', 'Tannerellaceae', -0.5443019883015578), ('Bacteroidaceae', 'Enterobacteriaceae', -0.39183667458655197), ('Sutterellaceae', 'Bacteroidaceae', -0.4169248958645209), ('Synergistaceae', 'Enterobacteriaceae', 0.30292074441502415), ('Muribaculaceae', 'Ruminococcaceae', 0.36496771747040335), ('Tannerellaceae', 'Sutterellaceae', 0.4756315045977064), ('Ruminococcaceae', 'Muribaculaceae', 0.41933011572433987), ('Lachnospiraceae', 'Ruminococcaceae', -0.6516836062590061)]",screening_runs/screen_2.json
3,0.1982128971540217,"[('Prevotellaceae', 'Tannerellaceae', -0.172346291143883), ('Enterobacteriaceae', 'Other_bacteria', -0.6040127430802675), ('Muribaculaceae', 'Prevotellaceae', 0.5508492801939342), ('Enterobacteriaceae', 'Lachnospiraceae', 0.1311885019682284), ('Muribaculaceae', 'Lachnospiraceae', 0.6027826493935764), ('Bacteroidaceae', 'Prevotellaceae', 0.5091766580692083), ('Muribaculaceae', 'Bacteroidaceae', 0.7902456860707827), ('Bifidobacteriaceae', 'Prevotellaceae', 0.5525842408345545), ('Oscillospiraceae', 'Ruminococcaceae', 0.08885698156193222), ('Prevotellaceae', 'Enterobacteriaceae', -0.13190916921574036), ('Muribaculaceae', 'Enterobacteriaceae', -0.6245371096528163), ('Bifidobacteriaceae', 'Other_bacteria', -0.5845043137992969), ('Lachnospiraceae', 'Enterobacteriaceae', -0.09026201720859695), ('Prevotellaceae', 'Muribaculaceae', 0.003922819952540735), ('Synergistaceae', 'Prevotellaceae', -0.641772241221143), ('Sutterellaceae', 'Bifidobacteriaceae', -0.04750181009141641), ('Oscillospiraceae', 'Muribaculaceae', 0.07866617998757697), ('Enterobacteriaceae', 'Oscillospiraceae', -0.3354222236076261)]",screening_runs/screen_3.json
4,0.18740031539427338,"[('Prevotellaceae', 'Muribaculaceae', -0.33911772694189257), ('Lachnospiraceae', 'Tannerellaceae', -0.7145625051296686), ('Bifidobacteriaceae', 'Ruminococcaceae', 0.0004129084957031903), ('Ruminococcaceae', 'Oscillospiraceae', 0.04883982472346493), ('Enterobacteriaceae', 'Tannerellaceae', -0.6753957595977713), ('Muribaculaceae', 'Enterobacteriaceae', 0.5425817412507337), ('Oscillospiraceae', 'Bifidobacteriaceae', 0.42242300483919615), ('Synergistaceae', 'Sutterellaceae', 0.6833153159840504), ('Muribaculaceae', 'Other_bacteria', 0.4556327164261844), ('Bifidobacteriaceae', 'Sutterellaceae', 0.049491543789505044), ('Muribaculaceae', 'Tannerellaceae', -0.6154845616106949), ('Ruminococcaceae', 'Prevotellaceae', -0.6399880223064486), ('Other_bacteria', 'Ruminococcaceae', -0.555173616739922), ('Sutterellaceae', 'Bifidobacteriaceae', -0.17788841047933612), ('Other_bacteria', 'Lachnospiraceae', 0.22470764010494637), ('Bacteroidaceae', 'Oscillospiraceae', 0.3641137831235395), ('Ruminococcaceae', 'Other_bacteria', -0.17182173097890363), ('Bifidobacteriaceae', 'Prevotellaceae', -0.2589977711729995)]",screening_runs/screen_4.json
5,0.18662335234284944,"[('Other_bacteria', 'Synergistaceae', -0.45452432653200514), ('Enterobacteriaceae', 'Muribaculaceae', -0.42713388841006045), ('Other_bacteria', 'Ruminococcaceae', 0.35652951684692136), ('Bacteroidaceae', 'Other_bacteria', 0.7346274314030345), ('Ruminococcaceae', 'Prevotellaceae', -0.3747552737651182), ('Enterobacteriaceae', 'Bacteroidaceae', 0.09937984069581862), ('Bifidobacteriaceae', 'Ruminococcaceae', 0.0930104891513086), ('Synergistaceae', 'Prevotellaceae', -0.432264931801009), ('Oscillospiraceae', 'Sutterellaceae', -0.13579436330998151), ('Ruminococcaceae', 'Synergistaceae', -0.37620033013388954), ('Sutterellaceae', 'Bifidobacteriaceae', 0.7223505349375017), ('Enterobacteriaceae', 'Prevotellaceae', -0.4167662557275289), ('Prevotellaceae', 'Bifidobacteriaceae', 0.5018189354224762), ('Muribaculaceae', 'Bifidobacteriaceae', 0.11145138513921982), ('Bifidobacteriaceae', 'Oscillospiraceae', 0.692605543133211), ('Bifidobacteriaceae', 'Prevotellaceae', -0.15593555302237994), ('Muribaculaceae', 'Enterobacteriaceae', -0.11223103851906158), ('Enterobacteriaceae', 'Sutterellaceae', 0.4967863612742094)]",screening_runs/screen_5.json
