run_no,rmse,active_pairs,config_path
0,0.1352980443667942,"[('Other_bacteria', 'Tannerellaceae', 0.011802450087861516), ('Sutterellaceae', 'Muribaculaceae', -0.2641976259363895), ('Synergistaceae', 'Ruminococcaceae', -0.54711432628699), ('Bifidobacteriaceae', 'Ruminococcaceae', -0.4638283332493265), ('Bacteroidaceae', 'Muribaculaceae', 0.3963720237159305), ('Muribaculaceae', 'Oscillospiraceae', -0.5667495402800787), ('Oscillospiraceae', 'Enterobacteriaceae', 0.7456582704966124), ('Sutterellaceae', 'Ruminococcaceae', 0.16224427615381898), ('Prevotellaceae', 'Ruminococcaceae', 0.045318576809224353), ('Other_bacteria', 'Lachnospiraceae', -0.4145863241137024), ('Synergistaceae', 'Bacteroidaceae', 0.49778090317661694), ('Oscillospiraceae', 'Synergistaceae', -0.321554750769633), ('Lachnospiraceae', 'Tannerellaceae', 0.2362763877880203), ('Ruminococcaceae', 'Bacteroidaceae', 0.4683170327077748), ('Synergistaceae', 'Prevotellaceae', 0.13443069621681158), ('Tannerellaceae', 'Oscillospiraceae', -0.17285899914371738), ('Tannerellaceae', 'Enterobacteriaceae', -0.6345486156949065), ('Bacteroidaceae', 'Tannerellaceae', 0.4248636521900744)]",screening_runs/screen_0.json
1,0.18707059295122314,"[('Oscillospiraceae', 'Other_bacteria', 0.3777647795235768), ('Enterobacteriaceae', 'Other_bacteria', 0.779919106963753), ('Synergistaceae', 'Muribaculaceae', -0.28052863034803666), ('Other_bacteria', 'Sutterellaceae', 0.7999446431356567), ('Prevotellaceae', 'Muribaculaceae', 0.06668144805888931), ('Other_bacteria', 'Enterobacteriaceae', -0.36870702353161067), ('Bifidobacteriaceae', 'Enterobacteriaceae', 0.1991288201562995), ('Bifidobacteriaceae', 'Other_bacteria', 0.029433309662561413), ('Ruminococcaceae', 'Bacteroidaceae', 0.2589483942570949), ('Oscillospiraceae', 'Ruminococcaceae', -0.4694985863946354), ('Enterobacteriaceae', 'Muribaculaceae', -0.5441332251336062), ('Synergistaceae', 'Tannerellaceae', -0.2884970128143849), ('Other_bacteria', 'Ruminococcaceae', 0.15264058665237512), ('Oscillospiraceae', 'Lachnospiraceae', -0.7837671633445779), ('Sutterellaceae', 'Bacteroidaceae', 0.22485425033521866), ('Muribaculaceae', 'Bacteroidaceae', 0.11049919604249969), ('Synergistaceae', 'Other_bacteria', -0.08778206613616413), ('Lachnospiraceae', 'Ruminococcaceae', 0.24129309668414223)]",screening_runs/screen_1.json
2,0.1470572279752469,"[('Other_bacteria', 'Prevotellaceae', 0.3652014501045535), ('Bifidobacteriaceae', 'Synergistaceae', -0.20119050909721803), ('Oscillospiraceae', 'Sutterellaceae', 0.481890483447061), ('Oscillospiraceae', 'Lachnospiraceae', -0.39372501588076664), ('Lachnospiraceae', 'Synergistaceae', -0.5041486775294075), ('Tannerellaceae', 'Oscillospiraceae', 0.36242660838822127), ('Other_bacteria', 'Ruminococcaceae', -0.20396424907231803), ('Synergistaceae', 'Ruminococcaceae', 0.7901747753646222), ('Synergistaceae', 'Bifidobacteriaceae', -0.6413984976913595), ('Prevotellaceae', 'Muribaculaceae', 0.22429216832897003), ('Sutterellaceae', 'Oscillospiraceae', 0.34151056346693287), ('Enterobacteriaceae', 'Ruminococcaceae', -0.19266262166751447), ('Oscillospiraceae', 'Ruminococcaceae', 0.7584290976601893), ('Synergistaceae', 'Enterobacteriaceae', -0.4621216522898177), ('Tannerellaceae', 'Prevotellaceae', 0.05198634999463503), ('Muribaculaceae', 'Lachnospiraceae', -0.3673648614425467), ('Bifidobacteriaceae', 'Enterobacteriaceae', 0.5050722145279112), ('Other_bacteria', 'Sutterellaceae', 0.5600753217343388)]",screening_runs/screen_2.json
