run_no,rmse,config_path,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0.1711462756657884,screening_runs/full18_0.json,-0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0
1,0.170580032168468,screening_runs/full18_1.json,-0.051194984652102,0.4844635212793946,-0.3361409967765212,-0.091834207996726,0.3029423836618662,-0.4686462543904781,-0.1746447635814547,0.3785271700471639,0.0287149865180253,0.2845431845635175
2,0.1533937903691331,screening_runs/full18_2.json,0.0378764213994144,0.4524047467857599,-0.4335575895383954,-0.1374502712860703,0.1228932389989495,-0.3149698451161384,-0.2107518771663308,0.1720759468153119,-0.2549105761572718,0.1271178275346756
3,0.165458799575186,screening_runs/full18_3.json,0.0327056681737303,-0.2624602997675538,-0.0214801030233502,0.4223088212311268,-0.0424189506098627,-0.3597363261505961,0.1070816554129123,0.7110351081937551,-0.1725710779428482,-0.383789200335741
4,0.1722371589198517,screening_runs/full18_4.json,-0.2326855083927512,-0.0410607168450951,0.3469218788668513,-0.469400255009532,0.5715702367946506,0.3965574568137526,0.2699508229270577,0.1249064728617668,0.2507648570463061,-0.2355018490925431
5,0.1748124755079949,screening_runs/full18_5.json,-0.0102192807942629,0.346051100641489,0.0575525043532252,-0.2150531709194183,0.454341197013855,0.0855862237513065,-0.1689066952094435,0.9199821557849646,-0.2829705104231834,0.1269506001845002
6,0.1613617946043364,screening_runs/full18_6.json,-0.6253828132127689,-0.4241723387223673,-0.4978066642644878,0.2680587669150452,0.8378817931691087,0.4390059360179563,0.4666921814162059,0.2722177399990064,-0.4984759189350876,0.4026499262792133
7,0.1286970154516366,screening_runs/full18_7.json,0.1302169593815778,-0.4016300975917367,0.4716048114709464,0.3928158429120406,-0.0275870734952052,0.1053184812230989,-0.3934500499688316,0.1022530692999531,0.4263257863927375,0.4736779040463035
8,0.1041998212366537,screening_runs/full18_8.json,-0.7881431410985072,0.2041416317550194,-0.4762734876457568,0.4892705182268273,0.616263870237571,0.4573890451225659,-0.45123418585073,0.6348921518242213,0.4519188370582758,-0.3415499365500318
9,0.156446808717242,screening_runs/full18_9.json,-0.7477110898639846,0.3703327569394489,0.4687242859496692,0.4378732658851169,0.1404822689386937,0.4261068009258628,-0.1997562134110169,0.8493534673183614,0.3927792687363052,0.4915070974380914
10,0.17828546906682,screening_runs/full18_10.json,-0.0441003605247737,0.4781548574298888,0.4870506662943568,-0.4559425405435955,0.8919466285767532,-0.4876274782579747,0.4090115935626942,0.2648216361376329,-0.489911414872916,-0.3766936976322852
11,0.1485351068324238,screening_runs/full18_11.json,-0.6999685588372726,-0.3854082305645097,-0.4562804089137419,0.4890135807247682,0.0308734734821437,-0.3134001712235197,0.4029286865948266,0.114171088663478,0.4315002019593144,0.4914249084178932
12,0.1555040971740967,screening_runs/full18_12.json,-0.7784340403302494,-0.4827580267849065,-0.0603646095056326,-0.4683840239128892,0.8617548621127616,0.3884287303410629,-0.4354148595729143,0.9560614272577592,0.3839958243167682,0.3597523055527973
13,0.1591659491746905,screening_runs/full18_13.json,-0.6573441620725619,-0.4929331761875377,-0.2317811515183352,0.402056336029415,-0.0991441744367873,0.4766576336200203,-0.3512257308027334,0.9815453420618736,-0.4725842530328551,-0.4063497201948928
14,0.1705298902687536,screening_runs/full18_14.json,-0.7742201584076087,-0.4407646369154985,0.3370191095748979,0.4817202942211567,0.8348991884383925,-0.3746601408305688,-0.3661911109933718,0.1710252585040702,0.3473493174913675,-0.428420292143051
15,0.13420128765613823,screening_runs/full18_15.json,0.044225980592861314,-0.4690020547671515,0.4638165723412425,0.3228577743492289,0.8415986693274959,0.4968058254876825,-0.3302007082479621,0.43119994697271624,-0.43789403539472216,-0.49383998043215827
