run_no,rmse,config_path,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0,0.1934194217563906,screening_runs/full18_0.json,0.2,0.0,0.5,0.0,0.5,-0.7,0.0,0.4,0.0,0.0,0.0,0.2,-0.2,0.0,0.0
1,0.1975865938619663,screening_runs/full18_1.json,0.324402507673949,0.2422317606396973,0.3319295016117394,-0.045917103998363,0.4514711918309331,-0.934323127195239,-0.0873223817907273,0.339263585023582,0.0143574932590126,0.1422715922817587,-0.1071325880475342,0.1423493947833776,-0.3346405250951648,-0.0159328267909586,0.1306062894873321
2,0.1656025993882815,screening_runs/full18_2.json,0.3689382106997073,0.2262023733928799,0.2832212052308023,-0.0687251356430351,0.3614466194994747,-0.8574849225580692,-0.1053759385831654,0.2360379734076559,-0.1274552880786359,0.0635589137673378,0.195044350810349,0.4001199042424559,-0.0109777495265007,-0.2482236977666616,0.0361314825713634
3,0.185726347702375,screening_runs/full18_3.json,0.3663528340868652,-0.1312301498837769,0.4892599484883249,0.2111544106155634,0.2787905246950686,-0.879868163075298,0.0535408277064561,0.5055175540968776,-0.0862855389714241,-0.1918946001678705,0.0205118884332478,0.1746910315006971,-0.2402049189433455,-0.0323107801377773,-0.0431174258701503
4,0.2502099119811289,screening_runs/full18_4.json,0.2336572458036244,-0.0205303584225475,0.6734609394334257,-0.234700127504766,0.5857851183973253,-0.5017212715931236,0.1349754114635288,0.2124532364308834,0.125382428523153,-0.1177509245462715,0.066408404149115,0.2901347058825195,-0.3706515485420823,0.1292835189960897,-0.1024068165570497
5,0.1952473130257909,screening_runs/full18_5.json,0.3448903596028685,0.1730255503207445,0.5287762521766126,-0.1075265854597091,0.5271705985069275,-0.6572068881243467,-0.0844533476047217,0.6099910778924823,-0.1414852552115917,0.0634753000922501,-0.0924446191638708,0.3537634623236954,-0.0398371678777039,-0.1152689605951309,0.0283043845556676
6,0.1931694671056202,screening_runs/full18_6.json,0.0373085933936155,-0.2120861693611836,0.2510966678677561,0.1340293834575226,0.7189408965845543,-0.4804970319910218,0.2333460907081029,0.2861088699995032,-0.2492379594675438,0.2013249631396066,-0.03134285066863,0.4373291383018552,-0.0305469069249159,0.2483181607800818,0.075656643863244
7,0.188954375629285,screening_runs/full18_7.json,0.0194720590007914,-0.1674068458581701,0.3446778309118019,-0.2372170022652012,0.7177001928955504,-0.4564416293349208,-0.2004354355126553,0.5822344386186724,0.123155766588853,0.170379398147966,-0.1944814155511663,0.0538624216655346,-0.3252128811210879,-0.2133542912337834,0.237267432654688
8,0.1496390592360255,screening_runs/full18_8.json,0.4151084796907889,-0.2008150487958683,0.7358024057354733,0.1964079214560203,0.2862064632523973,-0.6473407593884505,-0.1967250249844158,0.2011265346499766,0.2131628931963687,0.2368389520231517,-0.066735719318671,0.0370337173975419,0.0485707390254732,0.2160016204863484,0.1743464555997227
9,0.1562972560132476,screening_runs/full18_9.json,-0.0247328569529959,0.1212259821271493,0.4980920541607404,0.2443732069183352,0.7315377009865829,-0.8647728308012548,-0.0839606246325985,0.6324390709442786,-0.2127803090323952,0.2430771630905012,0.2493089074025619,-0.0237426681067506,-0.1341203670098349,-0.1924093963094147,0.1062464325327781
10,0.1918443626391267,screening_runs/full18_10.json,0.0186316829536109,-0.0747961918196093,0.2975953930463156,-0.2333960598038367,0.3867185565144979,-0.9218682034742844,0.2474910743425554,0.4720760368979235,0.2433139064037475,-0.0103620107071085,-0.1450391380447329,0.0865564646176518,0.0405640196301456,0.2273432508403374,-0.2415962376264392
11,0.1311375059659459,screening_runs/full18_11.json,-0.0495536018987692,0.1737456919638579,0.2781985192733663,0.0830700823376259,0.699881459226231,-0.4563314700663077,-0.2340814716890966,0.2030014125160407,-0.2397119611436832,-0.2124608504902477,0.1822993668091139,0.1310841954476661,-0.3946842428886962,0.1678525160668707,0.1925517711583459
12,0.1551587890522654,screening_runs/full18_12.json,0.0213279189637191,-0.2464665880937688,0.3841094242408324,0.2010281680147075,0.2504279127816063,-0.4616711831899898,-0.1756128654013667,0.6407726710309369,-0.2362921265164275,-0.2031748600974464,-0.1757012382385038,0.0308964020657382,-0.037062685245664,-0.2136589216372194,-0.069415283583704
13,0.1418636454053621,screening_runs/full18_13.json,-0.0335463377793475,-0.2339781325043542,0.7355758850361349,0.1669365902239992,0.3702242799214912,-0.7670422509357793,-0.1979112091372184,0.184599437870525,0.2269911589599147,0.0297377792466175,0.0253003510884528,0.0157264853169761,-0.4067988937939376,-0.2496886367073432,0.0294143903131957
14,0.1747081499470438,screening_runs/full18_14.json,0.1232796371840566,-0.1329132266406994,0.6805632160123818,-0.0595194647733469,0.7057540169857872,-0.9498446321905304,-0.2379842813586939,0.1786004503284748,-0.16816660073947,-0.2390308383263246,-0.2447355959818837,0.4323515097935045,-0.4301349080248569,0.0889055430144512,0.1639344141465913
15,0.15586166267613338,screening_runs/full18_15.json,-0.006142078657798256,-0.002246480205218837,0.37953318482952497,-0.1556453710651678,0.29751034875191845,-0.5029386162087117,0.20844165025177902,0.6330180185442504,0.22177910340215184,-0.21739974700796755,0.24602869847398895,0.05960368352984191,-0.03352837147286397,-0.2041920509058005,0.11473087007465765
