,Bacteroidaceae,Bifidobacteriaceae,Enterobacteriaceae,Lachnospiraceae,Muribaculaceae,Oscillospiraceae,Prevotellaceae,Ruminococcaceae,Sutterellaceae,Synergistaceae,Tannerellaceae,Rest
T5s3,16814,8,15823,847,607,144,103,1031,467,66,1051,1524
T6s3,12809,0,10876,600,300,73,79,507,378,60,751,1127
T12s3,15433,8,13881,610,177,59,89,563,440,69,709,1460
T24s3,12879,0,12524,451,338,57,92,485,354,49,424,1106
T48s3,14300,0,11936,809,214,139,57,240,269,24,442,1890
T72s3,14990,0,15825,1315,179,224,121,205,280,29,904,2180
T96s3,14786,2,16734,1742,360,180,174,180,263,22,1219,2968
T120s3,9911,0,10995,1308,472,125,113,149,200,6,968,2184
T144s3,5884,0,5148,923,149,76,63,44,127,4,661,1525
D1-3,4536,14226,1764,8347,0,154,1367,3188,777,0,1035,11038
D2-3,8212,9662,935,9797,0,1113,1410,6673,1595,0,2219,5136
D4-3,16305,4223,555,9989,6,3612,625,13375,2259,0,2627,3595
T0-3-2,10684,1482,181,6449,91,3075,155,3798,785,5,1309,1677
D8-3,15672,832,148,12443,979,4943,68,1361,381,0,1434,2238
D9-3,20034,702,150,13304,2284,4829,88,1128,651,0,1668,2127
D11-3,18076,313,73,12032,4485,2849,78,775,1442,37,1084,2744
D13-3,10402,86,24,6068,3236,1329,96,472,1569,89,512,2072
D15-3,17597,41,20,11308,6146,2435,1235,801,2709,1599,1229,4263
D16-3,15517,36,11,9266,4690,1939,1196,522,2520,3386,1029,3311
D18-3,12003,10,7,6029,2434,1314,1089,446,1501,5637,877,3486
T0-3,12959,8,0,6598,2409,1425,1289,395,1382,5690,1137,3230
T1-3,20305,45,5,10638,4074,2054,2129,593,1971,6776,1615,9034
T2-3,21869,0,2,9131,2221,2025,140,496,1534,6681,810,1940
T3-3,21011,25,0,11045,4463,2148,2441,643,2045,7445,1732,9019
T4-3,20014,11,10,7508,3722,1790,2255,547,2325,5599,2099,5643
T5-3,19792,8,6,6876,4191,1649,2287,517,2725,7222,1908,5622
T6-3,13670,8,2,4764,2952,1131,1550,316,1752,5051,1308,3838
T12-3,19937,9,10,6355,4886,1444,2497,492,3178,7128,2117,5508
T24-3,24023,16,22,7812,6276,1599,3375,614,3966,7513,2994,7595
T48-3,20049,4,29,7578,6375,2587,2536,332,2389,5580,2038,5012
T72-3,21912,5,19,10464,4470,1844,2240,376,2404,5937,1696,5298
T96-3,23731,0,14,8811,2634,2161,1231,321,2259,5958,1477,4579
T120-3,17512,5,8,6087,1354,1881,592,241,1768,5062,982,3128
T144-3,416,0,0,331,21,100,6,2,25,485,5,111
4s1,1624,923,69,3441,0,1046,625,2553,34,0,238,13547
4s2,3478,5019,1689,3059,0,206,470,2256,92,0,445,3646
4s3,10398,7408,3279,9682,0,1169,2162,4941,2076,0,1592,3413
4s4,3139,188,230,1691,0,1804,78,1280,633,0,170,791
4s5,5142,671,250,1910,0,951,64,1294,572,0,581,1259
4s7,7837,461,196,2204,13,1092,60,1606,795,0,650,1544
4s8,4057,43,108,2823,32,2969,16,1708,630,0,421,667
4s9,17053,157,3516,3228,594,1133,21,3909,2246,0,1110,3992
4s11,13012,24,5792,941,609,311,3,2629,857,0,644,1983
4s12,12963,27,4231,1210,982,377,7,3212,1052,8,612,2825
4s13,9647,5,4628,1417,875,308,124,2124,607,42,1369,4086
T0s4,4368,0,3323,549,241,97,847,928,147,12,506,1572
T1s4,25883,12,21978,3084,912,536,2380,3204,834,179,2336,4510
T2s4,11616,6,10499,1376,573,179,2720,1727,345,37,1184,3291
T3s4,10319,0,7684,1012,366,132,2538,1242,302,47,767,2630
T4s4,10788,0,9392,1095,387,171,2718,1354,310,35,915,2675
T5s4,7856,0,7215,981,480,132,2359,1228,208,19,772,2459
T6s4,10178,0,8875,1024,254,151,1676,1355,318,14,983,2147
T12s4,10939,0,7875,965,279,129,1602,1037,257,26,705,2638
T24s4,11643,0,11975,2615,771,310,3814,1982,402,42,1016,3728
T48s4,7514,0,6287,999,337,152,3191,885,231,88,931,2711
T72s4,7848,0,8139,1236,158,200,4723,678,245,101,1100,3275
